17:34:18.942 [main] INFO  com.fishyfriends.client.Flows - Animal was purchased.
22:05:36.519 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:20:51.525 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:25:15.414 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:27:56.054 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:28:20.871 [main] INFO  com.fishyfriends.client.Flows - $100.0 transferred from account #2 to account #3
00:35:41.394 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:35:58.950 [main] INFO  com.fishyfriends.client.Flows - $91.0 transferred from account #2 to account #3
00:44:34.846 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:44:50.567 [main] INFO  com.fishyfriends.client.Flows - $86.0 transferred from account #2 to account #3
00:54:50.990 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
00:55:12.464 [main] INFO  com.fishyfriends.client.Flows - $81.0 transferred from account #2 to account #3
00:55:35.387 [main] INFO  com.fishyfriends.client.Flows - $281.0 added to account #2
00:59:54.470 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:00:20.069 [main] INFO  com.fishyfriends.client.Flows - $736.0 added to account #2
01:20:40.767 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:24:34.364 [main] INFO  com.fishyfriends.client.Flows - 2 animals of ID#9 were purchased.
01:25:23.413 [main] INFO  com.fishyfriends.client.Flows - $639.02 removed from account #2
01:28:02.491 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:32:23.132 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:33:09.493 [main] INFO  com.fishyfriends.client.Flows - New user added to account #2
01:33:25.484 [main] INFO  com.fishyfriends.client.Flows - User removed from account #2
01:33:48.150 [main] INFO  com.fishyfriends.client.Flows - New user added to account #2
01:36:34.173 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:36:49.350 [main] INFO  com.fishyfriends.client.Flows - New user added to account #2
01:40:01.611 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:40:25.839 [main] INFO  com.fishyfriends.client.Flows - New user added to account #2
01:43:47.961 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:50:12.980 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:50:52.552 [main] INFO  com.fishyfriends.client.Flows - bill has been removed.
01:52:10.108 [main] INFO  com.fishyfriends.client.Flows - tehee has been removed.
01:58:10.543 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
01:59:09.762 [main] INFO  com.fishyfriends.client.Flows - AbbySowallachanged their address.
02:06:24.352 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
02:19:11.780 [main] INFO  com.fishyfriends.client.Flows - New account created.
02:19:25.365 [main] INFO  com.fishyfriends.client.Flows - Chrislogged in.
02:19:53.044 [main] INFO  com.fishyfriends.client.Flows - 0 animals of ID#5 were purchased.
02:20:36.730 [main] INFO  com.fishyfriends.client.Flows - $0.0 added to account #87
02:21:17.847 [main] INFO  com.fishyfriends.client.Flows - $500.0 transferred from account #87 to account #3
02:22:22.181 [main] INFO  com.fishyfriends.client.Flows - New user added to account #87
02:22:35.766 [main] INFO  com.fishyfriends.client.Flows - Chrissy has been removed.
02:23:23.042 [main] INFO  com.fishyfriends.client.Flows - Chrischanged their address.
02:24:48.035 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
02:25:16.767 [main] INFO  com.fishyfriends.client.Flows - Animal with ID #10 has been edited.
02:27:08.685 [main] INFO  com.fishyfriends.client.Flows - Account ID #87 has been removed.
02:38:09.789 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
02:57:29.932 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
03:03:08.917 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
03:04:53.776 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
03:05:35.021 [main] INFO  com.fishyfriends.client.Flows - Account ID #2 has been edited.
04:04:01.053 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
04:29:21.672 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
04:42:52.153 [main] INFO  com.fishyfriends.client.Flows - FFEmployeelogged in.
04:46:33.639 [main] INFO  com.fishyfriends.client.Flows - FFEmployeelogged in.
04:47:11.970 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
05:11:38.577 [main] INFO  com.fishyfriends.client.Flows - FFEmployeelogged in.
05:14:51.577 [main] INFO  com.fishyfriends.client.Flows - FFEmployeelogged in.
05:15:11.288 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
05:16:20.193 [main] INFO  com.fishyfriends.client.Flows - bob's username was changed by an Admin.
05:22:09.863 [main] INFO  com.fishyfriends.client.Flows - FFAdminlogged in.
05:23:08.689 [main] INFO  com.fishyfriends.client.Flows - jeff's birthday was changed by an Admin.
05:23:46.082 [main] INFO  com.fishyfriends.client.Flows - AbbySowallalogged in.
05:24:26.079 [main] INFO  com.fishyfriends.client.Flows - New user added to account #2
05:24:53.557 [main] INFO  com.fishyfriends.client.Flows - BrotherSowallalogged in.
